column,data_type,missing_values,unique_values
id,int64,0,18000
age,int64,0,55
gender,object,0,3
marital_status,object,0,4
education_level,object,0,5
annual_income,float64,0,17956
monthly_income,float64,0,17710
employment_status,object,0,5
debt_to_income_ratio,float64,0,546
credit_score,int64,0,397
loan_amount,float64,0,16943
loan_purpose,object,0,8
interest_rate,float64,0,1349
loan_term,int64,0,2
installment,float64,0,15890
num_of_open_accounts,int64,0,16
total_credit_limit,float64,0,17976
current_balance,float64,0,17969
delinquency_history,int64,0,11
num_of_delinquencies,int64,0,12
loan_paid_back,int64,0,2
