city,city_label,listing_count,median_unit_price_yuan_m2,mean_unit_price_yuan_m2,median_total_price_10k_yuan,median_area_m2
深圳,Shenzhen,21,38320.0,39457.90476190476,330.0,88.0
厦门,Xiamen,43,32249.0,32174.232558139534,370.0,101.0
建德,Jiande,52,31925.5,30639.865384615383,295.0,89.08500000000001
杭州,Hangzhou,73,31250.0,29685.45205479452,299.0,89.0
上海,Shanghai,72,31238.5,29969.23611111111,232.5,78.5
淳安,Chun'an,58,30451.5,29314.431034482757,283.5,88.5
三亚,Sanya,73,27381.0,28895.31506849315,272.0,102.0
镇海,Zhenhai,66,27338.0,26251.363636363636,249.5,101.1
乐清,Yueqing,49,26280.0,26752.73469387755,352.0,133.76
宁波,Ningbo,100,25684.5,24868.4,255.0,105.15
永泰,Yongtai,34,25170.5,26431.70588235294,229.0,95.985
福州,Fuzhou,66,25027.0,26186.439393939392,242.0,95.58500000000001
苏州,Suzhou,99,24837.0,25974.76767676768,229.0,95.0
长乐,Changle,51,24543.0,24738.49019607843,230.0,97.0
宁海,宁海,81,24510.0,23183.14814814815,233.8,101.76
桐庐,桐庐,87,24419.0,26356.83908045977,210.0,89.0
温州,Wenzhou,81,24307.0,23989.64197530864,260.0,112.0
罗源,Luoyuan,46,23852.5,24588.32608695652,244.0,104.5
涞水,涞水,25,23438.0,25049.52,175.0,79.0
瑞安,瑞安,45,23158.0,23305.28888888889,277.0,129.0
象山,象山,124,22885.5,21601.959677419356,222.5,108.5
蓟州,蓟州,61,22798.0,23700.180327868853,220.0,92.0
闽清,Minqing,40,22749.5,24123.2,193.05,89.85
南京,Nanjing,72,22748.5,24508.680555555555,184.0,88.0
连江,Lianjiang,22,22666.5,23656.954545454544,213.5,97.53
广州,Guangzhou,82,22540.0,27032.29268292683,218.5,87.35
天津,Tianjin,92,22418.5,24585.293478260868,216.5,91.815
高淳,高淳,90,21748.0,23650.744444444445,179.0,84.25
平潭,Pingtan,31,21586.0,26040.0,200.0,104.0
崇州,崇州,35,21214.0,21883.571428571428,197.0,96.0
东莞,Dongguan,100,20429.0,20839.07,215.5,98.0
金堂,金堂,59,20203.0,21522.661016949154,200.0,101.0
新津,新津,59,20000.0,21252.525423728814,190.0,92.0
大邑,大邑,78,19429.5,20278.115384615383,186.5,101.0
武汉,Wuhan,52,19394.5,19621.94230769231,157.5,91.945
平阴,平阴,67,19149.0,19648.238805970148,190.0,105.0
济阳,济阳,72,19004.5,18885.86111111111,175.5,99.45
丽水,丽水,108,18983.5,18301.833333333332,165.0,93.5
无锡,Wuxi,95,18898.0,19144.968421052632,184.0,100.41
珠海,珠海,97,18681.0,22244.9587628866,178.0,94.0
南通,Nantong,78,18586.0,18725.80769230769,179.0,99.5
汉南,汉南,70,18512.5,18425.614285714284,169.0,95.955
济南,济南,100,18416.5,19402.3,209.0,108.475
常熟,常熟,129,17500.0,16782.565891472866,165.0,95.0
商河,商河,53,16968.0,18204.716981132075,169.0,115.0
衢州,衢州,110,16742.5,17214.8,165.4,104.5
新乐,新乐,42,16625.0,16676.238095238095,167.5,101.28999999999999
金华,Jinhua,72,16580.5,17060.819444444445,169.5,100.0
成都,Chengdu,94,16547.0,18925.521276595744,157.5,88.685
舟山,舟山,95,16429.0,16195.663157894736,165.0,98.0
长清,长清,78,16334.5,18221.9358974359,179.5,107.53999999999999
青岛,Qingdao,92,16183.5,19895.380434782608,151.5,91.0
迁西,迁西,49,16118.0,16219.551020408164,178.0,116.31
常州,Changzhou,100,15981.0,16763.79,169.4,96.965
玉田,玉田,33,15816.0,16332.575757575758,180.0,118.0
滦南,滦南,32,15672.0,16289.59375,163.0,102.5
元氏,元氏,78,15610.0,16191.910256410256,151.0,95.875
周至,周至,66,15514.0,16253.818181818182,137.0,92.905
泉州,Quanzhou,49,15472.0,14594.040816326531,170.0,118.0
户县,户县,81,15439.0,16202.716049382716,150.0,96.23
石家庄,石家庄,40,15398.5,16427.3,141.5,93.13499999999999
晋州,晋州,100,15389.5,15858.07,143.6,97.0
温岭,温岭,73,15245.0,15082.493150684932,178.0,128.0
赵县,赵县,62,15210.0,15939.870967741936,135.5,92.25
台州,Taizhou,118,15168.0,15612.940677966102,189.4,133.265
郑州,Zhengzhou,100,15160.5,15660.5,135.0,92.9
无极,无极,73,15110.0,15540.287671232876,150.0,97.3
高陵,高陵,73,15104.0,15371.287671232876,149.8,96.0
乐亭,乐亭,68,15083.0,15170.926470588236,167.5,99.5
玉环,玉环,48,15055.5,15216.854166666666,141.5,105.36500000000001
临海,临海,77,15000.0,15388.363636363636,168.0,120.0
德化,德化,68,14920.0,15031.970588235294,156.0,115.0
安吉,安吉,119,14879.0,14791.974789915967,240.0,165.0
登封,登封,53,14828.0,14884.0,135.0,89.79
昆山,昆山,99,14815.0,15385.020202020201,150.0,94.0
邛崃,邛崃,53,14798.0,16747.830188679247,130.0,106.3
佛山,Foshan,100,14755.0,14637.04,135.5,95.0
巩义,巩义,67,14752.0,15847.641791044776,148.0,93.0
惠安,惠安,40,14678.0,14745.625,172.0,116.11500000000001
唐山,唐山,100,14650.0,14757.51,144.0,107.5
大连,Dalian,98,14621.5,15760.377551020409,134.0,91.215
琼海,琼海,27,14595.0,16445.0,100.0,60.0
西安,Xi'an,99,14563.0,15093.0,145.0,96.08
蓝田,蓝田,72,14411.5,15688.972222222223,136.5,96.5
姜堰,姜堰,103,14286.0,12985.019417475729,173.0,138.0
福安,福安,60,14023.0,13711.85,140.4,115.5
北京,Beijing,24,14019.0,18363.875,102.5,84.5
永登,永登,47,13810.0,13577.382978723404,145.0,103.0
扬州,扬州,82,13805.5,15216.060975609756,145.0,98.035
合肥,Hefei,95,13805.0,14073.505263157895,132.0,94.0
泉山,泉山,42,13706.5,14094.952380952382,132.5,97.0
溧阳,溧阳,143,13578.0,14014.216783216783,135.0,111.0
宁德,宁德,88,13557.0,13384.693181818182,147.0,120.5
张家港,张家港,120,13528.0,13691.341666666667,155.0,122.28999999999999
安溪,安溪,44,13483.0,13483.59090909091,129.95,115.0
铜山,铜山,46,13407.0,13496.695652173914,134.5,99.85
榆中,榆中,58,13324.5,13045.362068965518,133.5,99.72999999999999
徐州,徐州,98,13121.0,13125.448979591836,128.0,97.0
依兰,依兰,56,12984.5,12353.035714285714,120.5,98.275
庄河,庄河,77,12959.0,15002.64935064935,121.0,91.69
永春,永春,21,12929.0,12691.095238095239,135.0,117.8
肥东,肥东,47,12921.0,12892.765957446809,115.0,88.0
沧州,沧州,119,12824.0,12566.61344537815,120.0,90.0
大理,大理,121,12800.0,14054.355371900827,124.0,110.0
兰州,兰州,97,12766.0,13576.783505154639,129.0,100.0
肥西,肥西,54,12692.0,13025.37037037037,116.5,90.0
廊坊,廊坊,71,12568.0,12549.957746478873,110.0,86.0
