room_type,listing_count
"3 bedrooms, 2 living rooms",21203
"2 bedrooms, 2 living rooms",8062
"2 bedrooms, 1 living rooms",5013
"4 bedrooms, 2 living rooms",4452
"1 bedrooms, 1 living rooms",2320
"3 bedrooms, 1 living rooms",2021
Unknown,617
"5 bedrooms, 2 living rooms",599
"1 bedrooms, 0 living rooms",357
"5 bedrooms, 3 living rooms",261
"1 bedrooms, 2 living rooms",207
"4 bedrooms, 3 living rooms",191
"6 bedrooms, 2 living rooms",144
"4 bedrooms, 1 living rooms",138
"3 bedrooms, 3 living rooms",123
"6 bedrooms, 3 living rooms",116
"6 bedrooms, 4 living rooms",43
"2 bedrooms, 0 living rooms",34
"7 bedrooms, 3 living rooms",34
"5 bedrooms, 4 living rooms",31
"5 bedrooms, 1 living rooms",29
"4 bedrooms, 4 living rooms",26
"7 bedrooms, 2 living rooms",22
"9 bedrooms, 3 living rooms",19
"8 bedrooms, 3 living rooms",15
"3 bedrooms, 0 living rooms",13
"6 bedrooms, 1 living rooms",11
"8 bedrooms, 2 living rooms",11
"2 bedrooms, 3 living rooms",10
"6 bedrooms, 6 living rooms",9
"8 bedrooms, 4 living rooms",9
"9 bedrooms, 1 living rooms",9
"9 bedrooms, 2 living rooms",8
"5 bedrooms, 5 living rooms",7
"9 bedrooms, 9 living rooms",7
"7 bedrooms, 4 living rooms",6
"9 bedrooms, 4 living rooms",6
"8 bedrooms, 1 living rooms",5
"4 bedrooms, 5 living rooms",5
"5 bedrooms, 0 living rooms",5
"7 bedrooms, 1 living rooms",4
"3 bedrooms, 4 living rooms",3
"4 bedrooms, 0 living rooms",3
"6 bedrooms, 0 living rooms",3
"6 bedrooms, 5 living rooms",3
"2 bedrooms, 4 living rooms",3
"1 bedrooms, 3 living rooms",3
"10 bedrooms, 2 living rooms",3
"3 bedrooms, 5 living rooms",2
"9 bedrooms, 5 living rooms",2
"8 bedrooms, 5 living rooms",2
"8 bedrooms, 8 living rooms",2
"10 bedrooms, 1 living rooms",2
"7 bedrooms, 5 living rooms",1
"7 bedrooms, 6 living rooms",1
"10 bedrooms, 5 living rooms",1
"3 bedrooms, 6 living rooms",1
"8 bedrooms, 0 living rooms",1
"8 bedrooms, 6 living rooms",1
"2 bedrooms, 9 living rooms",1
"9 bedrooms, 6 living rooms",1
"9 bedrooms, 8 living rooms",1
"4 bedrooms, 12 living rooms",1
"4 bedrooms, 8 living rooms",1
"1 bedrooms, 5 living rooms",1
"7 bedrooms, 7 living rooms",1
