room_type,listing_count,median_unit_price_yuan_m2,median_total_price_10k_yuan,median_area_m2
"3 bedrooms, 6 living rooms",1,18598.0,199.0,107.0
"9 bedrooms, 5 living rooms",2,16930.5,381.5,232.775
"6 bedrooms, 5 living rooms",3,13759.0,530.0,300.0
Unknown,617,13725.0,258.8,200.0
"4 bedrooms, 5 living rooms",5,10714.0,203.0,239.0
"1 bedrooms, 5 living rooms",1,10612.0,260.0,245.0
"3 bedrooms, 5 living rooms",2,10237.5,119.0,122.0
"3 bedrooms, 4 living rooms",3,9879.0,200.0,83.0
"1 bedrooms, 2 living rooms",207,9400.0,50.8,58.0
"2 bedrooms, 2 living rooms",8062,8400.0,70.0,88.0
"4 bedrooms, 2 living rooms",4452,8277.0,120.0,143.0
"1 bedrooms, 0 living rooms",357,8000.0,33.0,41.12
"9 bedrooms, 3 living rooms",19,8000.0,232.0,300.0
"5 bedrooms, 3 living rooms",261,7871.0,188.0,241.0
"5 bedrooms, 2 living rooms",599,7858.0,150.0,208.0
"1 bedrooms, 1 living rooms",2320,7778.0,37.0,48.0
"8 bedrooms, 3 living rooms",15,7667.0,180.0,368.0
"3 bedrooms, 2 living rooms",21203,7664.0,86.0,116.0
"4 bedrooms, 3 living rooms",191,7576.0,136.0,176.0
"5 bedrooms, 4 living rooms",31,7561.0,180.0,255.0
"6 bedrooms, 3 living rooms",116,7462.0,199.0,281.41999999999996
"6 bedrooms, 2 living rooms",144,7422.5,169.5,239.25
"9 bedrooms, 9 living rooms",7,7368.0,95.0,437.0
"8 bedrooms, 5 living rooms",2,7222.0,70.0,82.5
"2 bedrooms, 0 living rooms",34,7153.5,54.5,58.5
"7 bedrooms, 2 living rooms",22,6837.0,215.0,287.0
"5 bedrooms, 5 living rooms",7,6667.0,90.0,312.0
"7 bedrooms, 4 living rooms",6,6652.5,212.0,335.14
"9 bedrooms, 1 living rooms",9,6627.0,150.0,249.0
"4 bedrooms, 4 living rooms",26,6500.0,136.5,202.5
"6 bedrooms, 4 living rooms",43,6393.0,160.0,270.0
"3 bedrooms, 1 living rooms",2021,6237.0,62.0,98.0
"9 bedrooms, 4 living rooms",6,6078.5,221.5,407.23
"3 bedrooms, 3 living rooms",123,6053.0,80.0,132.0
"2 bedrooms, 1 living rooms",5013,5845.0,45.0,75.3
"4 bedrooms, 1 living rooms",138,5839.0,75.0,140.0
"2 bedrooms, 4 living rooms",3,5627.0,57.0,120.0
"2 bedrooms, 9 living rooms",1,5625.0,225.0,400.0
"6 bedrooms, 1 living rooms",11,5371.0,76.0,230.0
"2 bedrooms, 3 living rooms",10,5278.5,66.5,115.15
"8 bedrooms, 1 living rooms",5,5000.0,150.0,300.0
"7 bedrooms, 3 living rooms",34,4796.0,168.0,333.0
"1 bedrooms, 3 living rooms",3,4674.0,50.0,110.0
"8 bedrooms, 8 living rooms",2,4598.5,107.5,336.705
"4 bedrooms, 12 living rooms",1,4553.0,56.0,123.0
"8 bedrooms, 0 living rooms",1,4545.0,75.0,165.0
"6 bedrooms, 6 living rooms",9,4444.0,150.0,324.0
"10 bedrooms, 2 living rooms",3,4444.0,130.0,260.0
"8 bedrooms, 2 living rooms",11,4385.0,90.0,241.0
"7 bedrooms, 1 living rooms",4,4241.0,120.0,283.5
"7 bedrooms, 5 living rooms",1,4231.0,200.0,472.72
"3 bedrooms, 0 living rooms",13,4182.0,50.0,118.0
"6 bedrooms, 0 living rooms",3,4111.0,148.0,187.59
"4 bedrooms, 8 living rooms",1,4083.0,196.0,480.0
"10 bedrooms, 5 living rooms",1,4076.0,150.0,368.0
"7 bedrooms, 7 living rooms",1,4074.0,110.0,270.0
"5 bedrooms, 1 living rooms",29,3929.0,78.0,200.7
"8 bedrooms, 4 living rooms",9,3657.0,128.0,350.0
"9 bedrooms, 2 living rooms",8,3521.5,85.0,300.0
"9 bedrooms, 6 living rooms",1,2950.0,118.0,400.0
"7 bedrooms, 6 living rooms",1,2733.0,82.0,300.0
"9 bedrooms, 8 living rooms",1,2600.0,130.0,500.0
"10 bedrooms, 1 living rooms",2,2583.0,60.0,225.0
"5 bedrooms, 0 living rooms",5,1667.0,24.0,132.0
"8 bedrooms, 6 living rooms",1,1618.0,72.0,445.0
"4 bedrooms, 0 living rooms",3,1161.0,13.0,112.0
